location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
United Arab Emirates,ARE,2021-03-10,6367861,,,,42650,28504,63.74,,,,2853,28597,0.286
United Arab Emirates,ARE,2021-03-11,6407350,,,,39489,29049,64.13,,,,2907,28597,0.286
United Arab Emirates,ARE,2021-03-12,6462887,,,,55537,32510,64.69,,,,3254,28597,0.286
United Arab Emirates,ARE,2021-03-13,6516723,,,,53836,35838,65.23,,,,3587,28597,0.286
United Arab Emirates,ARE,2021-03-14,6540912,,,,24189,38272,65.47,,,,3831,28597,0.286
United Arab Emirates,ARE,2021-03-15,6578881,,,,37969,41590,65.85,,,,4163,28597,0.286
United Arab Emirates,ARE,2021-03-16,6668627,,,,89746,49059,66.75,,,,4910,28597,0.286
United Arab Emirates,ARE,2021-03-17,6830369,,,,161742,66073,68.36,,,,6613,28597,0.286
United Arab Emirates,ARE,2021-03-18,6980466,,,,150097,81874,69.87,,,,8195,28597,0.286
United Arab Emirates,ARE,2021-03-19,7124146,,,,143680,94466,71.31,,,,9455,28597,0.286
United Arab Emirates,ARE,2021-03-20,7181056,,,,56910,94905,71.87,,,,9499,28597,0.286
United Arab Emirates,ARE,2021-03-21,7298768,,,,117712,108265,73.05,,,,10836,28597,0.286
United Arab Emirates,ARE,2021-03-22,7374725,,,,75957,113692,73.81,,,,11379,28597,0.286
United Arab Emirates,ARE,2021-03-23,7477881,,,,103156,115608,74.85,,,,11571,28597,0.286
United Arab Emirates,ARE,2021-03-24,7603328,,,,125447,110423,76.1,,,,11052,28597,0.286
United Arab Emirates,ARE,2021-03-25,7730375,,,,127047,107130,77.37,,,,10723,28597,0.286
United Arab Emirates,ARE,2021-03-26,7799517,,,,69142,96482,78.06,,,,9657,28597,0.286
United Arab Emirates,ARE,2021-03-27,7959682,,,,160165,111232,79.67,,,,11133,28597,0.286
United Arab Emirates,ARE,2021-03-28,8081751,,,,122069,111855,80.89,,,,11195,28597,0.286
United Arab Emirates,ARE,2021-03-29,8133841,,,,52090,108445,81.41,,,,10854,28597,0.286
United Arab Emirates,ARE,2021-03-30,8220783,,,,86942,106129,82.28,,,,10622,28597,0.286
United Arab Emirates,ARE,2021-03-31,8308469,,,,87686,100734,83.16,,,,10082,28597,0.286
United Arab Emirates,ARE,2021-04-01,8391302,,,,82833,94418,83.99,,,,9450,28597,0.286
United Arab Emirates,ARE,2021-04-02,8491382,,,,100080,98838,84.99,,,,9893,28597,0.286
United Arab Emirates,ARE,2021-04-03,8559291,,,,67909,85658,85.67,,,,8573,28597,0.286
United Arab Emirates,ARE,2021-04-04,8578979,,,,19688,71033,85.87,,,,7110,28597,0.286
United Arab Emirates,ARE,2021-04-05,8596722,,,,17743,66126,86.04,,,,6619,28597,0.286
United Arab Emirates,ARE,2021-04-06,8659503,,,,62781,62674,86.67,,,,6273,28597,0.286
United Arab Emirates,ARE,2021-04-07,8707073,,,,47570,56943,87.15,,,,5699,28597,0.286
United Arab Emirates,ARE,2021-04-08,8889571,,,,182498,71181,88.98,,,,7124,28597,0.286
United Arab Emirates,ARE,2021-04-09,8923543,,,,33972,61737,89.32,,,,6179,28597,0.286
United Arab Emirates,ARE,2021-04-10,8975014,,,,51471,59389,89.83,,,,5944,28597,0.286
United Arab Emirates,ARE,2021-04-11,9005444,,,,30430,60924,90.13,,,,6098,28597,0.286
United Arab Emirates,ARE,2021-04-12,9037923,,,,32479,63029,90.46,,,,6309,28597,0.286
United Arab Emirates,ARE,2021-04-13,9156728,,,,118805,71032,91.65,,,,7110,28597,0.286
United Arab Emirates,ARE,2021-04-14,9295462,,,,138734,84056,93.04,,,,8413,28597,0.286
United Arab Emirates,ARE,2021-04-15,9387344,,,,91882,71110,93.96,,,,7117,28597,0.286
United Arab Emirates,ARE,2021-04-16,9489684,,,,102340,80877,94.98,,,,8095,28597,0.286
United Arab Emirates,ARE,2021-04-17,9601463,,,,111779,89493,96.1,,,,8957,28597,0.286
United Arab Emirates,ARE,2021-04-18,9630200,,,,28737,89251,96.39,,,,8933,28597,0.286
United Arab Emirates,ARE,2021-04-19,9675205,,,,45005,91040,96.84,,,,9112,28597,0.286
United Arab Emirates,ARE,2021-04-20,,5081853,3836521,,,90125,,50.86,38.4,,9021,28597,0.286
United Arab Emirates,ARE,2021-04-21,9900002,,,,,86363,99.09,,,,8644,28717,0.287
United Arab Emirates,ARE,2021-04-22,10001241,,,,101239,87700,100.1,,,,8778,28837,0.289
United Arab Emirates,ARE,2021-04-23,10194266,,,,193025,100655,102.03,,,,10074,28957,0.29
United Arab Emirates,ARE,2021-04-24,,,,,,86228,,,,,8630,29077,0.291
United Arab Emirates,ARE,2021-04-25,10215846,,,,,83664,102.25,,,,8374,29196,0.292
United Arab Emirates,ARE,2021-04-26,10254053,,,,38207,82693,102.63,,,,8277,29316,0.293
United Arab Emirates,ARE,2021-04-27,10336214,,,,82161,78373,103.45,,,,7844,29436,0.295
United Arab Emirates,ARE,2021-04-28,10466251,,,,130037,80893,104.76,,,,8097,29436,0.295
United Arab Emirates,ARE,2021-04-29,10547584,,,,81333,78049,105.57,,,,7812,29436,0.295
United Arab Emirates,ARE,2021-04-30,,,,,,54929,,,,,5498,29436,0.295
United Arab Emirates,ARE,2021-05-01,10609950,,,,,57842,106.19,,,,5789,29436,0.295
United Arab Emirates,ARE,2021-05-02,10634693,,,,24743,59835,106.44,,,,5989,29436,0.295
United Arab Emirates,ARE,2021-05-03,10666924,,,,32231,58982,106.76,,,,5903,29436,0.295
United Arab Emirates,ARE,2021-05-04,10779163,,,,112239,63278,107.89,,,,6333,29436,0.295
United Arab Emirates,ARE,2021-05-05,10834453,,,,55290,52600,108.44,,,,5265,29436,0.295
United Arab Emirates,ARE,2021-05-06,10907264,,,,72811,51383,109.17,,,,5143,29436,0.295
United Arab Emirates,ARE,2021-05-07,11048547,,,,141283,67111,110.58,,,,6717,29436,0.295
United Arab Emirates,ARE,2021-05-08,11126889,,,,78342,73848,111.37,,,,7391,29436,0.295
United Arab Emirates,ARE,2021-05-09,11145934,,,,19045,73034,111.56,,,,7310,29436,0.295
United Arab Emirates,ARE,2021-05-10,11186348,,,,40414,74203,111.96,,,,7427,29436,0.295
United Arab Emirates,ARE,2021-05-11,11273344,,,,86996,70597,112.83,,,,7066,29436,0.295
United Arab Emirates,ARE,2021-05-12,11366954,,,,93610,76072,113.77,,,,7614,29436,0.295
United Arab Emirates,ARE,2021-05-13,11422565,,,,55611,73614,114.33,,,,7368,29436,0.295
United Arab Emirates,ARE,2021-05-14,11445680,,,,23115,56733,114.56,,,,5678,29436,0.295
United Arab Emirates,ARE,2021-05-15,11448363,,,,2683,45925,114.59,,,,4597,29436,0.295
United Arab Emirates,ARE,2021-05-16,11450769,,,,2406,43548,114.61,,,,4359,29436,0.295
United Arab Emirates,ARE,2021-05-17,11489475,,,,38706,43304,115.0,,,,4334,29436,0.295
United Arab Emirates,ARE,2021-05-18,11594068,,,,104593,45818,116.04,,,,4586,29436,0.295
United Arab Emirates,ARE,2021-05-19,11704191,,,,110123,48177,117.15,,,,4822,29436,0.295
United Arab Emirates,ARE,2021-05-20,11822054,,,,117863,57070,118.33,,,,5712,29436,0.295
